#Transactions from 01/05/2026 to 31/05/2026


#Account
#Main Account

Date,Time,Category,Subcategory,Name,Labels,Notes,Expense,Income
31/05/2026,20:20,Sports,,Badminton,,,RM 24.00,
31/05/2026,20:19,Eating Out,,肉骨茶,,,RM 50.90,
31/05/2026,20:19,Shopping,,拼多多,,,RM 22.65,
31/05/2026,14:03,Eating Out,,大成LokLok,,,RM 9.70,
30/05/2026,20:21,Eating Out,,Keropok,,,RM 10.00,
30/05/2026,20:20,Eating Out,,Melawis,,,RM 9.00,
30/05/2026,20:20,Eating Out,,168,,,RM 8.40,
30/05/2026,20:20,Shopping,,Cole Pharmacy,,,RM 11.80,
29/05/2026,20:21,Eating Out,,Mamak,,,RM 32.30,
29/05/2026,20:21,Eating Out,,百味小碗菜,,,RM 22.60,
29/05/2026,12:39,Entertainment,,Splash Mania,,,RM 58.80,
28/05/2026,20:22,Eating Out,,RT Pastry,,,RM 27.50,
28/05/2026,20:22,Eating Out,,Village Grocery,,,RM 23.90,
27/05/2026,13:39,Eating Out,,Luckin Coffee,,,RM 4.23,
27/05/2026,13:36,Sports,,Badminton,,,RM 25.00,
26/05/2026,13:41,Eating Out,,Empire Sushi,,,RM 13.70,
26/05/2026,13:38,Eating Out,,Domino’s,,,RM 22.00,
25/05/2026,18:36,Eating Out,,My News,,,RM 8.00,
25/05/2026,18:36,Eating Out,,Mcd,,,RM 1.00,
25/05/2026,13:56,Eating Out,,Mamak,,,RM 7.00,
25/05/2026,12:39,Eating Out,,Seibu,,,RM 8.00,
24/05/2026,13:56,Eating Out,,Cheery Cake House,,,RM 12.30,
23/05/2026,17:42,Fuel,,Petrol,,,RM 57.65,
23/05/2026,13:57,Eating Out,,SS15 Kopitiam,,,RM 21.00,
23/05/2026,13:57,Sports,,Badminton,,,RM 11.65,
22/05/2026,17:24,Travel,,Tng Top Up,,,RM 100.00,
22/05/2026,08:45,Shopping,,Guardian,,,RM 41.95,
22/05/2026,08:45,Eating Out,,Joy欢喜,,,RM 2.90,
